Field1,Field2,Field3
6-58-04-01/1-0002,วิสาหกิจชุมชนต้อบเนเจอร์,"
                                        37  หมู่ 5  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 053692893 
                                    "
6-58-04-01/1-0004,วิสาหกิจชุมชนกลุ่มส่งเสริมผลิตภัณฑ์ดนตรีพื้นเมือง,"
                                        260/3  หมู่ 1  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 053621589 
                                    "
6-58-04-01/1-0005,วิสาหกิจชุมชนกลุ่มสมุนไพรบ้านโป่ง,"
                                        357/1  หมู่ 12  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 053621453 
                                    "
6-58-04-01/1-0011,วิสาหกิจชุมชนกลุ่มผู้เลี้ยงโคขุนบ้านป่าหมาก,"
                                        42  หมู่ 11  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 010359198 
                                    "
6-58-04-01/1-0022,วิสาหกิจชุมชนกลุ่มทอผ้ากระเหรี่ยงบ้านศรีดอนไชย,"
                                        120/1  หมู่ 8  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0843657450 
                                    "
6-58-04-01/1-0025,วิสาหกิจชุมชนเสื้อไตบ้านโป่ง,"
                                        185/1  หมู่ 12  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 053682346 
                                    "
6-58-04-01/1-0028,วิสาหกิจชุมชนกลุ่มอาชีพตัดเย็บผ้าห่มนวมบ้านท่าข้ามเหนือ,"
                                        110  หมู่ 8  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0821841544 
                                    "
6-58-04-01/1-0030,วิสาหกิจชุมชนขนมงาบ้านโป่ง,"
                                        357/1  หมู่ 12  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 053621453 
                                    "
6-58-04-01/1-0042,วิสาหกิจชุมชนกลุ่มตัดเย็บผ้าห่มหมู่บ้านอารีย์นิเวศน์,"
                                        32/1  หมู่ 12  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0817068248 
                                    "
6-58-04-01/1-0044,วิสาหกิจชุมชนกลุ่มทอผ้าสตรีบ้านโป่ง,"
                                        215/2  หมู่ 12  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 053681999 
                                    "
6-58-04-01/1-0045,วิสาหกิจชุมชนกลุ่มการผลิตไม้กวาดและโคมบ้านท่าข้าม,"
                                        375/2  หมู่ 1  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0871805121 
                                    "
6-58-04-01/1-0046,วิสาหกิจชุมชนกลุ่มศิลปะประดิษฐ์บ้านท่าข้ามเหนือ,"
                                        12/2  หมู่ 8  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0932274926 
                                    "
6-58-04-01/1-0047,วิสาหกิจชุมชนผลิตรวบรวมแปรรูปเกษตรอินทรีย์บ้านห้วยหลวง,"
                                        40/2  หมู่ 6  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0882634158 
                                    "
6-58-04-01/1-0049,วิสาหกิจชุมชนเกษตรอินทรีย์แปรรูปและการท่องเที่ยวบ้านยอดดอย (ห้วยหลวง),"
                                        65/2  หมู่ 6  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-04-01/1-0052,วิสาหกิจชุมชนกลุ่มปลูกบุกและพืชสมุนไพรบ้านแม่ต๊อบเหนือ,"
                                        70/1  หมู่ 7  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0800640199 
                                    "
6-58-04-01/1-0053,วิสาหกิจชุมชนกลุ่มผลิตข้าวศตวรรษใหม่เพื่อสุขภาพบ้านห้วยหลวง,"
                                        40/2  หมู่ 6  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0903206029 
                                    "
6-58-04-01/1-0054,วิสาหกิจชุมชนกลุ่มผ้าทอมือกะเหรี่ยงบ้านท่าข้าม,"
                                        383/2  หมู่ 1  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0861188498 
                                    "
6-58-04-01/1-0055,วิสาหกิจชุมชนกลุ่มพืชสมุนไพรท้องถิ่นบ้านท่าข้าม,"
                                        375/1  หมู่ 1  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-04-01/1-0057,วิสาหกิจชุมชนผู้เลี้ยงโคขุนบ้านป่าหมาก กลุ่มที่ 2,"
                                        54/2  หมู่ 11  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0803202715 
                                    "
6-58-04-01/1-0058,วิสาหกิจชุมชนผู้เลี้ยงโคขุนบ้านป่าหมากกลุ่ม1,"
                                        35/1  หมู่ 11  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 08117705198 
                                    "
6-58-04-01/1-0059,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้ปลูกพืชและเลี้ยงสัตว์เศรษฐกิจบ้านแม่ต้อบเหนือ,"
                                        110  หมู่ 7  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-04-01/1-0060,วิสาหกิจชุมชนกลุ่มแปลงใหญ่ข้าวบ้านแพะ,"
                                        69  หมู่ 3  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0861972741 
                                    "
6-58-04-01/1-0061,วิสาหกิจชุมชนกลุ่มแปลงใหญ่ถั่วเหลืองตำบลบ้านกาศ,"
                                        42/2  หมู่ 5  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-04-01/1-0062,วิสาหกิจชุมชนผ้าทอผ้าไทยบายชอ,"
                                        287/5  หมู่ 1  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0821811855 
                                    "
6-58-04-01/1-0063,วิสาหกิจชุมชนกลุ่มผู้ปลูกกระเทียมบ้านสบหาร,"
                                        97  หมู่ 2  ต.บ้านกาศ  อ.แม่สะเรียง  จ.แม่ฮ่องสอน โทรศัพท์ 0850544539 
                                    "
