Field1,Field2,Field3
6-58-01-01/1-0001,วิสาหกิจชุมชนเมืองสามหมอก,"
                                        72  หมู่    ต.จองคำ  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์ 053611290 
                                    "
6-58-01-01/1-0002,วิสาหกิจชุมชนเครื่องสำอางค์จากงาและสมุนไพร,"
                                        123/6  หมู่ 1  ต.จองคำ  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์ 053620085 
                                    "
6-58-01-01/1-0015,วิสาหกิจชุมชนB.J.K บิวตี้ซาลอน,"
                                        22  หมู่    ต.จองคำ  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-01-01/1-0016,วิสาหกิจชุมชนB.J.K Coffee,"
                                        22  หมู่    ต.จองคำ  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์ 053620426 
                                    "
6-58-01-01/1-0017,วิสาหกิจชุมชนแปรรูปกาแฟและสินค้าทางการเกษตร,"
                                        81  หมู่    ต.จองคำ  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์ 0939962444 
                                    "
6-58-01-01/1-0018,วิสาหกิจชุมชนกลุ่มเสน่ห์โคมไต,"
                                        25  หมู่    ต.จองคำ  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์ 0959369568 
                                    "
6-58-01-01/1-0019,วิสาหกิจชุมชนแม่ฮ่องสอน,"
                                        81  หมู่    ต.จองคำ  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์ 053612999 
                                    "
6-58-01-01/1-0020,วิสาหกิจชุมชนสล่าแม่ฮ่องสอน,"
                                        35/2  หมู่    ต.จองคำ  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์ 0815685370 
                                    "
6-58-01-01/2-0010,เครือข่ายวิสาหกิจชุมชนแปรรูปผลผลิตวนเกษตรศูนย์โป่งแดง,"
                                        14/30  หมู่    ต.จองคำ  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์ 053684315 
                                    "
6-58-01-02/1-0001,วิสาหกิจชุมชนกลุ่มทอผ้าพื้นเมือง,"
                                        53/1  หมู่ 3  ต.ห้วยโป่ง  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-01-02/1-0010,วิสาหกิจชุมชนศูนย์ผลิตผลิตภัณฑ์พืชสมุนไพรระดับชุมชนที่5,"
                                        109/1  หมู่ 1  ต.ห้วยโป่ง  อ.เมืองแม่ฮ่องสอน  จ.แม่ฮ่องสอน โทรศัพท์ 053060031 
                                    "
