Field1,Field2,Field3
6-50-25-01/1-0001,วิสาหกิจชุมชนเสาแดง,"
                                        55/1  หมู่ 7  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0843341994 
                                    "
6-50-25-01/1-0013,วิสาหกิจชุมชนเกษตรยั่งยืนบ้านกิ่วโป่ง,"
                                        199  หมู่ 2  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-01/1-0017,วิสาหกิจชุมชนกลุ่มทอผ้าบ้านแม่ละอูป,"
                                        288  หมู่ 3  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-01/1-0020,วิสาหกิจชุมชนกลุ่มทอผ้าปกาเกอะญอ,"
                                        120  หมู่ 1  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-01/1-0022,วิสาหกิจชุมชนกลุ่มทอผ้าบ้านแจ่มหลวง ม.6,"
                                        273  หมู่ 6  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-01/1-0026,วิสาหกิจชุมชนกลุ่มสมุนไพรกัลยา,"
                                        263  หมู่ 2  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-01/1-0027,วิสาหกิจชุมชนการอนุรักษ์และใช้ประโยชน์จากป่าต้นน้ำ,"
                                        12  หมู่ 3  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0967127568 
                                    "
6-50-25-01/1-0028,วิสาหกิจชุมชนกลุ่มผักอินทรีย์กัลยา,"
                                        203/1  หมู่ 2  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0811663953 
                                    "
6-50-25-01/1-0029,วิสาหกิจชุมชนSuper Farmer,"
                                        90  หมู่ 2  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-01/1-0030,วิสาหกิจชุมชนกาแฟดอยโป่งกา,"
                                        92  หมู่ 1  ต.แจ่มหลวง  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0988133291 
                                    "
6-50-25-02/1-0011,วิสาหกิจชุมชนข้าวซ้อมมือดอยกัลยาณิวัฒนา,"
                                        46/1  หมู่ 7  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0848815604 
                                    "
6-50-25-02/1-0013,วิสาหกิจชุมชนผู้ปลูกอโวกาโด้หนองเจ็ดหน่วย,"
                                        217  หมู่ 4  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-02/1-0014,วิสาหกิจชุมชนกลุ่มข้าวซ้อมมือดอยบ้านวัดจันทร์,"
                                        51/1  หมู่ 3  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0807690056 
                                    "
6-50-25-02/1-0015,วิสาหกิจชุมชนกลุ่มผู้ปลูกฟักทองญี่ปุ่นอำเภอกัลยาณิวัฒนา,"
                                        136  หมู่ 7  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-02/1-0016,วิสาหกิจชุมชนPine  forest,"
                                        1  หมู่ 4  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0616869997 
                                    "
6-50-25-02/1-0017,วิสาหกิจชุมชนกลุ่มเกษตรกรรมแบบยั่งยืน (บ้านสันม่วง),"
                                        4  หมู่ 2  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-02/1-0018,วิสาหกิจชุมชนเกษตรยั่งยืนบ้านแจ่มน้อย,"
                                        20  หมู่ 5  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-02/1-0020,วิสาหกิจชุมชนกลุ่มหัตถกรรมกัลยาณิวัฒนา,"
                                        178  หมู่ 2  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-02/1-0022,วิสาหกิจชุมชนSuper  Farmer,"
                                        195  หมู่ 4  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-02/1-0024,วิสาหกิจชุมชนกาแฟมูเส่คี,"
                                        7  หมู่ 7  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0622757526 
                                    "
6-50-25-02/1-0026,วิสาหกิจชุมชนผลิตภัณฑ์ชุมชนอำเภอกัลยาณิวัฒนา,"
                                        293  หมู่ 4  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0812849628 
                                    "
6-50-25-02/1-0027,วิสาหกิจชุมชนแปรรูปพืชและสมุนไพร,"
                                        144  หมู่ 4  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0650062878 
                                    "
6-50-25-02/1-0028,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรบ้านวัดจันทร์ อ.กัลยาณิวัฒนา,"
                                        197  หมู่ 3  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0879314118 
                                    "
6-50-25-02/1-0029,วิสาหกิจชุมชนผลิตภัณฑ์อินทรีย์ครบวงจร อ.กัลยาณิวัฒนา,"
                                        43  หมู่ 7  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-02/1-0030,วิสาหกิจชุมชนกลุ่มเลี้ยงโคกระบือบ้านแจ่มน้อย อ.กัลยาณิวัฒนา,"
                                        10  หมู่ 5  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0937507530 
                                    "
6-50-25-02/1-0031,วิสาหกิจชุมชนกลุ่มแม่บ้านห้วยบง,"
                                        113  หมู่ 4  ต.บ้านจันทร์  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0951713261 
                                    "
6-50-25-03/1-0018,วิสาหกิจชุมชนผู้ผลิตกาแฟซึบลึคี,"
                                        26/1  หมู่ 5  ต.แม่แดด  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-25-03/1-0019,วิสาหกิจชุมชนสินค้าแม่แดดน้อย,"
                                        125  หมู่ 4  ต.แม่แดด  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0987565273 
                                    "
6-50-25-03/1-0020,วิสาหกิจชุมชนศูนย์เรียนรู้ครูเอก-หมอเก๋,"
                                        4  หมู่ 1  ต.แม่แดด  อ.กัลยาณิวัฒนา  จ.เชียงใหม่ โทรศัพท์ 0850301197 
                                    "
