Field1,Field2,Field3
6-50-05-01/1-0001,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรบ้านร้องขี้เหล็ก,"
                                        154  หมู่ 7  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0819923220 
                                    "
6-50-05-01/1-0010,วิสาหกิจชุมชนกลุ่มเกษตรกรหมู่ที่ 4 ป่าคา,"
                                        253  หมู่ 4  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0829312989 
                                    "
6-50-05-01/1-0012,วิสาหกิจชุมชนกลุ่มหัตถกรรม ผ้าทอมือ จักสาน งานฝีมือ,"
                                        88  หมู่ 12  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053865484 
                                    "
6-50-05-01/1-0028,วิสาหกิจชุมชนกลุ่มข้าวชุมชน,"
                                        66  หมู่ 1  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0844858069 
                                    "
6-50-05-01/1-0029,วิสาหกิจชุมชนแปรรูปสมุนไพรโพธิ์ทอง,"
                                        145/1  หมู่ 2  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0980079799 
                                    "
6-50-05-01/1-0032,วิสาหกิจชุมชนข้าวก่ำสายพันธุ์ดอยสะเก็ด,"
                                        40  หมู่ 8  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0897580243 
                                    "
6-50-05-01/1-0033,วิสาหกิจชุมชนกาแฟดอยสะเก็ด,"
                                        159  หมู่ 11  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0814724714 
                                    "
6-50-05-01/1-0034,วิสาหกิจชุมชนกลุ่มส่งเสริมอาชีพการเกษตรบ้านป่าสักน้อย,"
                                        52/2  หมู่ 9  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0823922228 
                                    "
6-50-05-01/1-0035,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรบ้านป่าสักน้อย,"
                                        88/8  หมู่ 9  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0823922228 
                                    "
6-50-05-01/1-0037,วิสาหกิจชุมชนกลุ่มพัฒนาผลิตผลทางการเกษตรและสมุนไพร ดอยสะเก็ด,"
                                        141/2  หมู่ 6  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0931811212 
                                    "
6-50-05-01/1-0038,วิสาหกิจชุมชนกลุ่มเชียงดาพารวย บ้านป่าสักน้อย,"
                                        52  หมู่ 9  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0823922228 
                                    "
6-50-05-01/1-0039,วิสาหกิจชุมชนกลุ่มไก่พันธุ์พื้นเมือง บ้านป่าสักน้อย,"
                                        70  หมู่ 9  ต.เชิงดอย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0823922228 
                                    "
6-50-05-02/1-0002,วิสาหกิจชุมชนแปรรูปลำไยดอยสะเก็ด,"
                                        74  หมู่ 1  ต.สันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053867163 
                                    "
6-50-05-02/1-0007,วิสาหกิจชุมชนหัตถศิลป์เครื่องเขินและไม้ 14,"
                                        107/2  หมู่ 14  ต.สันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053887660 
                                    "
6-50-05-02/1-0011,วิสาหกิจชุมชนกลุ่มเมล็ดพันธุ์ข้าวชุมชนบ้านสันต้นดู่,"
                                        54  หมู่ 2  ต.สันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053868116 
                                    "
6-50-05-02/1-0018,วิสาหกิจชุมชนกลุ่มอาชีพขนมจีนแม่บ้านสันต้นม่วงใต้,"
                                        27  หมู่ 9  ต.สันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053386302 
                                    "
6-50-05-02/1-0040,วิสาหกิจชุมชนรักษดาผ้าฝ้าย,"
                                        115/107  หมู่ 10  ต.สันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0987484851 
                                    "
6-50-05-02/1-0043,วิสาหกิจชุมชนเมืองเหนือ (MUANG NEUR),"
                                        145  หมู่ 5  ต.สันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0932246256 
                                    "
