Field1,Field2,Field3
6-63-04-01/1-0008,วิสาหกิจชุมชนกลุ่มแปรรูปผลิตภัณฑ์สันเก้ากอม,"
                                        285/4  หมู่ 6  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055581345 
                                    "
6-63-04-01/1-0010,วิสาหกิจชุมชนกลุ่มเกษตรอินทรีย์ หมู่ 3,"
                                        132/2  หมู่ 3  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055581493 
                                    "
6-63-04-01/1-0011,วิสาหกิจชุมชนกลุ่มเลี้ยงโคแม่ระมาด 568,"
                                        3  หมู่ 6  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 071951801 
                                    "
6-63-04-01/1-0014,วิสาหกิจชุมชนกลุ่มประดิษฐ์เฟอร์นิเจอร์จากเศษไม้สัก,"
                                        158  หมู่ 3  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0862015756 
                                    "
6-63-04-01/1-0015,วิสาหกิจชุมชนกลุ่มแปรรูปผลิตภัณฑ์ ม.3 ต.แม่ระมาด,"
                                        132/2  หมู่ 3  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0843817275 
                                    "
6-63-04-01/1-0018,วิสาหกิจชุมชนกลุ่มแปรรูปผลิตภัณฑ์ชุมชนดอนแก้ว,"
                                        85/5  หมู่ 6  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055581470 
                                    "
6-63-04-01/1-0022,วิสาหกิจชุมชนกลุ่มแปรรูปผลผลิตเกษตรบ้านโฮ้ง หมู่ 5 แม่ระมาด,"
                                        73  หมู่ 5  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055581479 
                                    "
6-63-04-01/1-0041,วิสาหกิจชุมชนโครงการเลี้ยงโคบ้านนกแล,"
                                        209  หมู่ 3  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0819888163 
                                    "
6-63-04-01/1-0042,วิสาหกิจชุมชนปลูกผักปลอดสารบ้านไหล่ท่า,"
                                        51/2  หมู่ 3  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0908960359 
                                    "
6-63-04-02/1-0001,วิสาหกิจชุมชนกลุ่มสุรากลั่นชุมชนดอยธง,"
                                        13  หมู่ 2  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055553280 
                                    "
6-63-04-02/1-0004,วิสาหกิจชุมชนกลุ่มเลี้ยงโคเนื้อเพื่อขยายพันธุ์บ้านทุ่งหลวง,"
                                        13/1  หมู่ 5  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 048184372 
                                    "
6-63-04-02/1-0007,วิสาหกิจชุมชนสีนวลสุราขาว,"
                                        100  หมู่ 7  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 092709412 
                                    "
6-63-04-02/1-0012,วิสาหกิจชุมชนแม่จะเราสุรากลั่น,"
                                        323/3  หมู่ 6  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055585132 
                                    "
6-63-04-02/1-0021,วิสาหกิจชุมชนดอกลำดวนสุรากลั่น,"
                                        183  หมู่ 2  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055585241 
                                    "
6-63-04-02/1-0024,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรสองแควเคหกิจ,"
                                        51  หมู่ 2  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055585330 
                                    "
6-63-04-02/1-0025,วิสาหกิจชุมชนสุวรรณสุรากลั่น,"
                                        135  หมู่ 2  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055585241 
                                    "
6-63-04-02/1-0044,วิสาหกิจชุมชนกลุ่มธุรกิจเกษตร สปก.,"
                                        203/5  หมู่ 6  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 062112019 
                                    "
6-63-04-02/1-0046,วิสาหกิจชุมชนเลี้ยงวัว-ทำไร่,"
                                        100  หมู่ 7  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0872057683 
                                    "
6-63-04-02/1-0047,วิสาหกิจชุมชนกลุ่มเกษตรกรเลี้ยงโคบ้านใหม่,"
                                        7/1  หมู่ 9  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 087399356 
                                    "
6-63-04-02/1-0049,วิสาหกิจชุมชนผู้ผลิตและรวบรวมเมล็ดพันธุ์พืช,"
                                        285  หมู่ 2  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0872052321 
                                    "
6-63-04-02/1-0060,วิสาหกิจชุมชนทำไร่และเลี้ยงสัตว์ ม.1,"
                                        71/1  หมู่ 1  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0899571973 
                                    "
