Field1,Field2,Field3
6-50-03-01/1-0008,วิสาหกิจชุมชนกลุ่มเลี้ยงสุกรบ้านทุ่งยาว,"
                                        22  หมู่ 1  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 098540755 
                                    "
6-50-03-01/1-0011,วิสาหกิจชุมชนกลุ่มดอกไม้ประดิษฐ์บ้านสันหนอง,"
                                        247  หมู่ 3  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 053485394 
                                    "
6-50-03-01/1-0027,วิสาหกิจชุมชนกลุ่มหัตถกรรมเส้นสายลายเมืองท้องฝาย,"
                                        46  หมู่ 8  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 053485439 
                                    "
6-50-03-01/1-0035,วิสาหกิจชุมชนกลุ่มแปรรูปสินค้าเกษตรบ้านพุทธเอ้น-กอก,"
                                        280  หมู่ 15  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 053828155 
                                    "
6-50-03-01/1-0053,วิสาหกิจชุมชนกลุ่มทำน้ำพริกบ้านสันหนอง,"
                                        52/2  หมู่ 3  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 053828153 
                                    "
6-50-03-01/1-0058,วิสาหกิจชุมชนกลุ่มเกษตรพอเพียงบ้านท้องฝาย,"
                                        74  หมู่ 8  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0832043782 
                                    "
6-50-03-01/1-0090,วิสาหกิจชุมชนเกษตรธรรมชาติปลอดภัยบ้านแม่ปาน-สันเกี๋ยง2,"
                                        62  หมู่ 10  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-01/1-0093,วิสาหกิจชุมชนกลุ่มเลี้ยงโคบ้านทุ่งยาว,"
                                        109  หมู่ 1  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-01/1-0096,วิสาหกิจชุมชนพัฒนาเกษตรกรปลูกพืชเลี้ยงสัตว์ไทยแลนด์40,"
                                        154/1  หมู่ 12  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0842881774 
                                    "
6-50-03-01/1-0099,วิสาหกิจชุมชนเกษตรกรผู้เลี้ยงโคแม่ปาน 38,"
                                        8  หมู่ 10  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0988055901 
                                    "
