Field1,Field2,Field3
6-58-05-01/1-0006,วิสาหกิจชุมชนกลุ่มแปรรูปกล้วยแม่ลาหลวง,"
                                        188  หมู่ 1  ต.แม่ลาหลวง  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-05-01/1-0007,วิสาหกิจชุมชนกลุ่มจักสานกุ๊บไต,"
                                        334  หมู่ 1  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-05-01/1-0013,วิสาหกิจชุมชนกลุ่มพัฒนาอาชีพการตีเหล็ก,"
                                        62/1  หมู่ 1  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-05-01/1-0014,วิสาหกิจชุมชนกลุ่มแม่บ้านวังคัน,"
                                        81  หมู่ 5  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-05-01/1-0015,วิสาหกิจชุมชนแม่บ้านเกษตรกรบ้านทุ่งสารภี,"
                                        41  หมู่ 9  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์ 053689349 
                                    "
6-58-05-01/1-0018,วิสาหกิจชุมชนเลี้ยงหมูบ้านวังคัน,"
                                        7/1  หมู่ 5  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์ 0 
                                    "
6-58-05-01/1-0023,วิสาหกิจชุมชนกลุ่มตัดเย็บเสื้อผ้าชุมชนบ้านวังคัน,"
                                        40  หมู่ 5  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์ 0864290027 
                                    "
6-58-05-01/1-0036,วิสาหกิจชุมชนบุกแม่ลาน้อย,"
                                        66/1  หมู่ 1  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-05-01/1-0037,วิสาหกิจชุมชนกล้วยอบธัญพืชบ้านวังคัน,"
                                        11/3  หมู่ 5  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-05-01/1-0038,วิสาหกิจชุมชนไม้กวาดดอกหญ้าบ้านวังคัน,"
                                        24  หมู่ 5  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์ 053689231 
                                    "
6-58-05-01/1-0040,วิสาหกิจชุมชนเกสรถั่วดาวอินคา,"
                                        34/1  หมู่ 1  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-05-01/1-0042,วิสาหกิจชุมชนบุกและเกษตรอินทรีย์บ้านวังคัน,"
                                        11  หมู่ 5  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-05-01/1-0043,วิสาหกิจชุมชนบุกบ้านห้วยริน,"
                                        86  หมู่ 14  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์ 0927648269 
                                    "
6-58-05-01/1-0044,วิสาหกิจชุมชนการท่องเที่ยวโดยชุมชนบ้านวังคัน,"
                                        43/3  หมู่ 5  ต.แม่ลาน้อย  อ.แม่ลาน้อย  จ.แม่ฮ่องสอน โทรศัพท์ 0979462088 
                                    "
