Field1,Field2,Field3
6-50-21-01/1-0003,วิสาหกิจชุมชนกลุ่มออมทรัพย์เพื่อการผลิตบ้านท่า,"
                                        378  หมู่ 2  ต.ปงตำ  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 053870457 
                                    "
6-50-21-02/1-0010,วิสาหกิจชุมชนนาเเปลงใหญ่,"
                                        79  หมู่ 12  ต.ศรีดงเย็น  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 0622922968 
                                    "
6-50-21-02/1-0011,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้เลี้ยงแพะอำเภอไชยปราการ,"
                                        59  หมู่ 8  ต.ศรีดงเย็น  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 0979208389 
                                    "
6-50-21-03/1-0055,วิสาหกิจชุมชนกลุ่มอาชีพบ้านห้วยต้นตอง,"
                                        48  หมู่ 7  ต.แม่ทะลบ  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-21-03/1-0056,วิสาหกิจชุมชนผู้ปลูกลำไยแปลงใหญ่ตำบลแม่ทะลบ,"
                                        87  หมู่ 5  ต.แม่ทะลบ  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-21-03/1-0058,วิสาหกิจชุมชนกลุ่มผลิตปศุสัตว์และผลผลิตการเกษตร,"
                                        53  หมู่ 6  ต.แม่ทะลบ  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 0899563396 
                                    "
6-50-21-03/1-0059,วิสาหกิจชุมชนโคขุนแม่ทะลบ,"
                                        115/1  หมู่ 4  ต.แม่ทะลบ  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 0613576621 
                                    "
6-50-21-03/1-0060,วิสาหกิจชุมชนผู้ปลูกสมุนไพรอำเภอไชยปราการ,"
                                        121  หมู่ 6  ต.แม่ทะลบ  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 0871811250 
                                    "
6-50-21-03/1-0061,วิสาหกิจชุมชนแปลงใหญ่ข้าว หมู่ 6 ตำบลแม่ทะลบ,"
                                        121  หมู่ 6  ต.แม่ทะลบ  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 0871811250 
                                    "
6-50-21-04/1-0047,วิสาหกิจชุมชนกลุ่มพัฒนาผลผลิตการตลาดเกษตรบ้านปง,"
                                        113/1  หมู่ 7  ต.หนองบัว  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 0827581838 
                                    "
6-50-21-04/1-0052,วิสาหกิจชุมชนผู้ผลิตกาแฟดอยผาแดงไชยปราการ,"
                                        739  หมู่ 6  ต.หนองบัว  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-21-04/1-0053,วิสาหกิจชุมชนหมูหรรษาวายเอฟเอสซีพีเค,"
                                        3  หมู่ 3  ต.หนองบัว  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 0933166348 
                                    "
6-50-21-04/1-0054,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้เลี้ยงโคเนื้อและผลิตอาหารสัตว์ไชยปราการ,"
                                        105  หมู่ 7  ต.หนองบัว  อ.ไชยปราการ  จ.เชียงใหม่ โทรศัพท์ 0871736351 
                                    "
