Field1,Field2,Field3
6-58-02-01/1-0002,วิสาหกิจชุมชนออมทรัพย์เกษตรทางเลือกบ้านแม่สุริน,"
                                        15/2  หมู่ 3  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0956733072 
                                    "
6-58-02-01/1-0035,วิสาหกิจชุมชนทอผ้าบ้านแม่สะเป่เหนือ หมู่ที่ 6 ตำบลขุนยวม,"
                                        48  หมู่ 6  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0808602879 
                                    "
6-58-02-01/1-0036,วิสาหกิจชุมชนผู้เลี้ยงสุกรบ้านแม่สะเป่ใต้,"
                                        31/2  หมู่ 4  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์   
                                    "
6-58-02-01/1-0049,วิสาหกิจชุมชนแม่บ้านแม่สะเป่ใต้,"
                                        10  หมู่ 4  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0643135221 
                                    "
6-58-02-01/1-0050,วิสาหกิจชุมชนกลุ่มเกษตรทางเลือกอำเภอขุนยวม,"
                                        737  หมู่ 1  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0884095141 
                                    "
6-58-02-01/1-0051,วิสาหกิจชุมชนผุ้ปลูกบุกแม่กิ๊,"
                                        29  หมู่ 1  ต.แม่กิ๊  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0958746612 
                                    "
6-58-02-01/1-0053,วิสาหกิจชุมชนกลุ่มผู้ปลูกบุกบ้านแม่สะเป่เหนือ,"
                                        62  หมู่ 6  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0973239141 
                                    "
6-58-02-01/1-0055,วิสาหกิจชุมชนกิจการเลี้ยงโค,"
                                        764/1  หมู่ 1  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0826434110 
                                    "
6-58-02-01/1-0056,วิสาหกิจชุมชนกลุ่มเลี้ยงวัวหมู่ที1,"
                                        766/1  หมู่ 1  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0612834030 
                                    "
6-58-02-01/1-0057,วิสาหกิจชุมชนถุงทรัพย์ขุนยวมสุรากลั่น,"
                                        358/1  หมู่ 1  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0854332788 
                                    "
6-58-02-01/1-0058,วิสาหกิจชุมชนเกษตรพอเพียงบ้านแม่สุริน,"
                                        70/2  หมู่ 3  ต.ขุนยวม  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0802644298 
                                    "
6-58-02-02/1-0020,วิสาหกิจชุมชนการค้าชายแดนห้วยต้นนุ่น,"
                                        65  หมู่ 4  ต.แม่เงา  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0811684357 
                                    "
6-58-02-02/1-0021,วิสาหกิจชุมชนวิสาหกิจชุมชนผู้ผลิตกระเทียมพันธุ์ขุนยวม,"
                                        64/3  หมู่ 8  ต.แม่เงา  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0807916081 
                                    "
6-58-02-02/1-0023,วิสาหกิจชุมชนกลุ่มวิสาหกิจเกษตรกรเลี้ยงไก่แม่ฮ่องสอนบ้านต่อแพ,"
                                        49/1  หมู่ 1  ต.แม่เงา  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0830772294 
                                    "
6-58-02-02/1-0024,วิสาหกิจชุมชนกลุ่มปลูกผักและสมุนไพรขุนยวม,"
                                        191  หมู่ 1  ต.แม่เงา  อ.ขุนยวม  จ.แม่ฮ่องสอน โทรศัพท์ 0995026436 
                                    "
