Field1,Field2,Field3
6-63-05-01/1-0010,วิสาหกิจชุมชนกลุ่มแปรรูปน้ำพริกบุกกลุ่มแปลงใหญ่บุกบ้านท่าสองยาง,"
                                        141  หมู่ 1  ต.ท่าสองยาง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0936165392 
                                    "
6-63-05-01/1-0011,วิสาหกิจชุมชนแปลงใหญ่บุกบ้านท่าสองยาง,"
                                        582  หมู่ 9  ต.ท่าสองยาง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0936165392 
                                    "
6-63-05-01/1-0012,วิสาหกิจชุมชนทอผ้าบ้านอุระโกร,"
                                        19/2  หมู่ 4  ต.ท่าสองยาง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0659123571 
                                    "
6-63-05-02/1-0003,วิสาหกิจชุมชนน้ำผึ้งเดือนห้าท่าสองยาง,"
                                        33  หมู่ 1  ต.แม่ต้าน  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 097038434 
                                    "
6-63-05-02/1-0014,วิสาหกิจชุมชนกลุ่มปลูกสมุนไพรท่าสองยาง,"
                                        74/4  หมู่ 2  ต.แม่ต้าน  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0801175645 
                                    "
6-63-05-02/1-0015,วิสาหกิจชุมชนปลูกพืชสมุนไพรแม่ต้าน,"
                                        160  หมู่ 1  ต.แม่ต้าน  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0878968406 
                                    "
6-63-05-02/1-0016,วิสาหกิจชุมชนเพิ่มมูลค่าสินค้าทางการเกษตร,"
                                        181  หมู่ 8  ต.แม่ต้าน  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0801175645 
                                    "
6-63-05-02/1-0017,วิสาหกิจชุมชนกลุ่มแปรรูปสินค้าทางการเกษตรบ้านห้วยปูแกง,"
                                        205  หมู่ 5  ต.แม่ต้าน  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
6-63-05-02/1-0018,วิสาหกิจชุมชนผลิตสุรากลั่นแม่ต้านงาไซ,"
                                        707  หมู่ 1  ต.แม่ต้าน  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0848144654 
                                    "
6-63-05-03/1-0001,วิสาหกิจชุมชนผ้าทอบ้านเชียงแก้ว,"
                                        154  หมู่ 1  ต.แม่สอง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0871955473 
                                    "
6-63-05-03/1-0012,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้ปลูกและแปรรูปผลไม้ผักเมืองหนาว,"
                                        163  หมู่ 5  ต.แม่สอง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0644942442 
                                    "
6-63-05-04/1-0006,วิสาหกิจชุมชนสุรากลั่นดาวลอย,"
                                        179  หมู่ 1  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0852683941 
                                    "
6-63-05-04/1-0022,วิสาหกิจชุมชนกลุ่มรวบรวมมันสำปหลัง บ.แม่หละ,"
                                        5  หมู่ 2  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0810261630 
                                    "
6-63-05-04/1-0023,วิสาหกิจชุมชนกลุ่มรวบรวมข้าวโพดเลี้ยงสัตว์บ้านแม่หละ ,"
                                        11  หมู่ 4  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0987967758 
                                    "
6-63-05-04/1-0024,วิสาหกิจชุมชน กลุ่มชุมชนแปรรูปทำกล้วยฉาบและปลูกพืชสมุนไพรนานาชนิดเพื่อประโยชน์ทางการแพทย์ไทย อ.ท่าสองยาง,"
                                        50/2  หมู่ 1  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
6-63-05-04/1-0025,วิสาหกิจชุมชนปลูกพืชสมุนไพรและแปรรูปผลิตภัณฑ์ชุมชนตำบลแม่หละ,"
                                        55  หมู่ 1  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0998987805 
                                    "
6-63-05-05/1-0010,วิสาหกิจชุมชนกลุ่มเกษตรอินทรีย์บ้านปางทอง,"
                                        91  หมู่ 2  ต.แม่วะหลวง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
6-63-05-06/1-0016,วิสาหกิจชุมชนกาแฟมอโก้คี,"
                                        102  หมู่ 1  ต.แม่อุสุ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0808406900 
                                    "
9-63-05-02/1-0017,วิสาหกิจชุมชนเกษตรกรผู้ปลูกบุกตำบลแม่ต้าน,"
                                        108/1  หมู่ 2  ต.แม่ต้าน  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-02/1-0018,วิสาหกิจชุมชนแม่บ้านบ้านใหม่ ต.แม่ต้าน,"
                                        584  หมู่ 1  ต.แม่ต้าน  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0801144184 
                                    "
9-63-05-03/1-0010,วิสาหกิจชุมชนกลุ่มอนุรักษ์ทรัพยากรธรรมชาติและสิ่งเเวดล้อมบ้านวะโดโกร,"
                                        19  หมู่ 12  ต.แม่สอง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-03/1-0012,วิสาหกิจชุมชนกล่มเกษตรกรผู้ปลูกบุกบ้านแม่นิล,"
                                        80  หมู่ 6  ต.แม่สอง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0614317891 
                                    "
9-63-05-04/1-0010,วิสาหกิจชุมชนกลุ่มผู้ผลิตข้าวโพดเลี้ยงสัตว์คุณภาพบ้านแม่หละยาง,"
                                        5  หมู่ 2  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-04/1-0011,วิสาหกิจชุมชนกลุ่มผู้เพาะปลูกข้าวโพดเลี้ยงสัตว์คุณภาพบ้านแม่หละยาง,"
                                        74/1  หมู่ 2  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-04/1-0012,วิสาหกิจชุมชนกลุ่มผู้ผลิตข้าวโพดเลี้ยงสัตว์คุณภาพบ้านห้วยนกกก,"
                                        11  หมู่ 4  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-04/1-0013,วิสาหกิจชุมชนกลุ่มผู้ผลิตข้าวโพดเลี้ยงสัตว์คุณภาพบ้านกามาผาโด้,"
                                        59/3  หมู่ 5  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-04/1-0014,วิสาหกิจชุมชนกลุ่มผู้ผลิตข้าวโพดเลี้ยงสัตว์คุณภาพบ้านแม่ออกฮู,"
                                        10  หมู่ 9  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-04/1-0015,วิสาหกิจชุมชนกลุ่มผู้ผลิตข้าวโพดเลี้ยงสัตว์คุณภาพบ้านพะน่อคี,"
                                        219  หมู่ 10  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-04/1-0016,วิสาหกิจชุมชนกลุ่มผู้ผลิตข้าวโพกเลี้ยงสัตว์คุณภาพบ้านขุนห้วยนกกก,"
                                        135  หมู่ 7  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-04/1-0017,วิสาหกิจชุมชนกลุ่มทอผ้าพื้นบ้านปากะญอแม่หละ,"
                                        41  หมู่ 10  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์   
                                    "
9-63-05-04/1-0018,วิสาหกิจชุมชนกลุ่มสุรากลั่นช้างทอง,"
                                        87  หมู่ 1  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0801170381 
                                    "
9-63-05-04/1-0019,วิสาหกิจชุมชนพืชสมุนไพรพื้นบ้าน หมู่บ้าน 8 บ้านทีจื้อหล่อคี,"
                                        94  หมู่ 8  ต.แม่หละ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0899064144 
                                    "
9-63-05-05/1-0010,วิสาหกิจชุมชนเกษตรยั่งยืนแม่วะหลวง ตำบลแม่วะหลวง,"
                                        478  หมู่ 3  ต.แม่วะหลวง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0647292316 
                                    "
9-63-05-05/1-0011,วิสาหกิจชุมชนเกษตรกรผู้ปลูกบุกและแปรรูปผลผลิตการเกษตรบ้านแม่อมกิ,"
                                        6/1  หมู่ 4  ต.แม่วะหลวง  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0899579954 
                                    "
9-63-05-06/1-0011,วิสาหกิจชุมชน ม.9 กาแฟเลอตอโกล,"
                                        507  หมู่ 9  ต.แม่อุสุ  อ.ท่าสองยาง  จ.ตาก โทรศัพท์ 0932284424 
                                    "
