Field1,Field2,Field3
6-50-22-01/1-0001,วิสาหกิจชุมชนกลุ่มผลิตภัณฑ์แหนมแม่บ้านมะกายยอน,"
                                        42  หมู่ 4  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์ 0899997718 
                                    "
6-50-22-01/1-0002,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรมะกายยอน,"
                                        38  หมู่ 4  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์ 053830466 
                                    "
6-50-22-01/1-0010,วิสาหกิจชุมชนกลุ่มแปรรูปลำไยเนื้อสีทอง,"
                                        100  หมู่ 7  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์ 053363675 
                                    "
6-50-22-01/1-0014,วิสาหกิจชุมชนกลุ่มเลี้ยงผึ้งแม่วาง,"
                                        161  หมู่ 9  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์ 053830325 
                                    "
6-50-22-01/1-0016,วิสาหกิจชุมชนแม่วางเกษตรอินทรีย์,"
                                        22  หมู่ 7  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์ 0894317055 
                                    "
6-50-22-01/1-0025,วิสาหกิจชุมชนกลุ่มแปรรูปลำไยอำเภอแม่วาง,"
                                        98  หมู่ 7  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์ 053363675 
                                    "
6-50-22-01/1-0028,วิสาหกิจชุมชนนิพนธ์การเกษตร,"
                                        20  หมู่ 3  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์ 0819619619 
                                    "
6-50-22-01/1-0029,วิสาหกิจชุมชนกลุ่มแปรรูปลำไยเนื้อสีทองบ้านไร่หลวง,"
                                        82  หมู่ 7  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-22-01/1-0032,วิสาหกิจชุมชนกลุ่มผักปลอดภัยเพื่อสุขภาพ,"
                                        79  หมู่ 6  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์ 0894346046 
                                    "
6-50-22-01/1-0036,วิสาหกิจชุมชนกลุ่มแปรรูปลำไยห้วยผึ้ง,"
                                        51  หมู่ 3  ต.บ้านกาด  อ.แม่วาง  จ.เชียงใหม่ โทรศัพท์ 053489111 
                                    "
